,ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
99,184.56.140.ide,2017-06-26,00:00:00,0.0,1369774.0,0001144204-10-028669,.txt,200.0,7583042.0,0.0,0.0,0.0,10.0,0.0,
100,192.41.128.bbi,2017-06-26,00:00:00,0.0,1395205.0,0001092306-08-000595,.txt,200.0,217316.0,0.0,0.0,0.0,10.0,0.0,
101,192.41.128.bbi,2017-06-26,00:00:00,0.0,1395205.0,0001092306-08-000538,.txt,200.0,8352.0,0.0,0.0,0.0,10.0,0.0,
102,192.41.128.bbi,2017-06-26,00:00:00,0.0,751085.0,0001104659-08-052644,.txt,200.0,23724.0,0.0,0.0,0.0,10.0,0.0,
103,203.210.68.jhi,2017-06-26,00:00:00,0.0,1648955.0,0001144204-17-028529,-index.htm,200.0,3568.0,1.0,0.0,0.0,1.0,0.0,
104,207.46.13.geh,2017-06-26,00:00:00,0.0,1585689.0,0001585689-17-000131,q12017exhibit1012-formofre.htm,200.0,23150.0,0.0,0.0,0.0,10.0,0.0,
105,207.46.13.geh,2017-06-26,00:00:00,0.0,1419852.0,0001144204-16-115472,xslF345X03/v445522_form4.xml,200.0,4759.0,0.0,0.0,0.0,10.0,0.0,
106,207.46.13.geh,2017-06-26,00:00:00,0.0,1001082.0,0001104659-12-086790,a12-30195_28k.htm,200.0,3312.0,0.0,0.0,0.0,10.0,0.0,
107,213.105.134.fjf,2017-06-26,00:00:00,0.0,1347683.0,0001047469-12-000764,a2206796z13f-hr.txt,200.0,8676.0,0.0,0.0,0.0,10.0,0.0,
108,216.244.66.ddh,2017-06-26,00:00:00,0.0,829224.0,0000829224-14-000037,sbux-9282014xexhibit991.htm,200.0,1200949.0,0.0,0.0,0.0,10.0,0.0,
109,217.182.132.agj,2017-06-26,00:00:00,0.0,10795.0,0001193125-14-369291,d803726d425.htm,200.0,32027.0,0.0,0.0,0.0,10.0,0.0,
110,217.182.132.bge,2017-06-26,00:00:00,0.0,799698.0,0001250853-10-000083,.txt,200.0,2537.0,0.0,0.0,0.0,10.0,0.0,
111,218.94.86.gcd,2017-06-26,00:00:00,0.0,1570585.0,0001570585-17-000214,-index.htm,301.0,679.0,1.0,0.0,0.0,10.0,0.0,
112,35.167.212.fha,2017-06-26,00:00:00,0.0,1038339.0,0001284812-07-000076,-index.htm,200.0,2848.0,1.0,0.0,0.0,10.0,0.0,
113,35.167.212.fha,2017-06-26,00:00:00,0.0,1038339.0,0000932471-07-000397,-index.htm,200.0,2839.0,1.0,0.0,0.0,10.0,0.0,
114,35.167.212.fha,2017-06-26,00:00:00,0.0,1038339.0,0000064782-07-000013,-index.htm,200.0,2866.0,1.0,0.0,0.0,10.0,0.0,
115,38.140.198.dgd,2017-06-26,00:00:00,0.0,1158399.0,0001062993-17-003003,form6k.htm,301.0,658.0,0.0,0.0,0.0,10.0,0.0,
116,38.140.198.dgd,2017-06-26,00:00:00,0.0,312070.0,0001104659-17-041224,-index.htm,200.0,7255.0,1.0,0.0,0.0,10.0,0.0,
117,38.140.198.dgd,2017-06-26,00:00:00,0.0,312070.0,0001104659-17-041224,-index.htm,301.0,683.0,1.0,0.0,0.0,10.0,0.0,
118,38.140.198.dgd,2017-06-26,00:00:00,0.0,1158399.0,0001062993-17-003003,form6k.htm,200.0,4673.0,0.0,0.0,0.0,10.0,0.0,
119,38.140.198.dgd,2017-06-26,00:00:00,0.0,1158399.0,0001062993-17-003003,exhibit99-1.htm,301.0,666.0,0.0,0.0,0.0,10.0,0.0,
